review,recommended,helpful_or_not,playtime_at_review
"Man I really wanted to like this game. I thought I remembered it being less harsh (aka buggy). Even with the unofficial patch, too many problems. Idiots pass out in airlock, now no one can enter. entire base dies slowly because nothing can get done. raiders come in and your security is weak and die. Everyone else who isnt security fights and dies, no way to get them to LEAVE. 
I've been patiently waiting for the other similar games in EA to finish so I can play those instead. 
Don't ever give your money to this company Double Fine. They really screwed themselves in insuring NO ONE buys games from this guy/team ever again (watch out for new names with same owner).",False,2,222
Double Fine Productions - pls stick to what u know. Point n Click!,False,5,13
"⣿⣿⡻⠿⣳⠸⢿⡇⢇⣿⡧⢹⠿⣿⣿⣿⣿⣾⣿⡇⣿⣿⣿⣿⡿⡐⣯⠁ ⠄⠄
⠟⣛⣽⡳⠼⠄⠈⣷⡾⣥⣱⠃⠣⣿⣿⣿⣯⣭⠽⡇⣿⣿⣿⣿⣟⢢⠏⠄ ⠄
⢠⡿⠶⣮⣝⣿⠄⠄⠈⡥⢭⣥⠅⢌⣽⣿⣻⢶⣭⡿⠿⠜⢿⣿⣿⡿⠁⠄⠄
⠄⣼⣧⠤⢌⣭⡇⠄⠄⠄⠭⠭⠭⠯⠴⣚⣉⣛⡢⠭⠵⢶⣾⣦⡍⠁⠄⠄⠄⠄
⠄⣿⣷⣯⣭⡷⠄⠄⢀⣀⠩⠍⢉⣛⣛⠫⢏⣈⣭⣥⣶⣶⣦⣭⣛⠄⠄⠄⠄⠄
⢀⣿⣿⣿⡿⠃⢀⣴⣿⣿⣿⣎⢩⠌⣡⣶⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣆⠄⠄⠄
⢸⡿⢟⣽⠎⣰⣿⣿⣿⣿⣿⣿⢀⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠄⠄
⣰⠯⣾⢅⣼⣿⣿⣿⣿⣿⣿⡇⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡄⠄
⢰⣄⡉⣼⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠄
⢯⣌⢹⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⢸⣇⣽⣿⣿⣿⣿⣿⣿⣿⣿⠸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⢸⣟⣧⡻⣿⣿⣿⣿⣿⣿⣿⣧⡻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠈⢹⡧⣿⣸⠿⢿⣿⣿⣿⣿⡿⠗⣈⠻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡇⠄
⠄⠘⢷⡳⣾⣷⣶⣶⣶⣶⣶⣾⣿⣿⢀⣶⣶⣶⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠄
⠄⠄⠈⣵⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄⠄
⠄⠄⠄⠸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠄⠄",True,9,91
"It sure was thoughtful of Double Fine to unearth a prototype of an abandoned MS-DOS game and make it easily accessible for the public! There's a skeleton of a decent idea here and seems to run okay but I'm glad Bullfrog made Theme Hospital instead!

...what do you mean this was made in 2014?
This is still being sold for 10 dollars in the year 2026?
[i]There's a public apology by the Double Fine CEO posted on the Steam discussion board?!
[b]Oh nooooooooooo....[/b][/i]",False,22,137
I'm surprised this game is even for sale still. Shouldn't be legal.,False,26,2368
Game has been abandoned.,False,17,294
"[b]Do not buy![/b]
This game is an unfinished, buggy mess. There was a long list of promises that remain unfulfilled. Double Fine took the money and ran, even admitting that they stopped development because it was costing them too much money.",False,39,3955
um just dont in fact dont buy anything from double fine anymore,False,4,732
There are a lot of bugs,False,5,131
♥♥♥♥ Double Fine,False,2,164
